timestamp,height,width,door_number,entrance_exit,parking_spot
2023-06-29 12:53:11.587512,36.44256813623744,57.44652139349141,6,False,223
2023-07-17 12:53:11.588508,22.595023239435996,53.29115659811706,1,False,159
2023-06-02 12:53:11.591510,15.593603076459157,50.16467152907911,5,False,254
2023-05-13 12:53:11.594510,7.828161892504683,30.845994742599988,1,False,258
2023-07-12 12:53:11.596513,18.32661434269881,43.80540682219746,2,False,88
2023-04-27 12:53:11.598518,20.693739881625312,60.58818686044635,2,False,372
2023-05-25 12:53:11.600511,17.563314189183064,54.20859212076394,1,False,237
2023-08-06 12:53:11.602509,11.536873982970878,45.29793215469915,3,False,153
2023-07-07 12:53:11.605511,19.28989812312159,39.682583164181466,4,False,3
2023-07-28 12:53:11.607510,23.632736032928957,45.20544285492038,5,False,497
2023-06-03 12:53:11.609509,14.287742542195598,35.55679562169884,4,False,266
2023-06-23 12:53:11.611510,14.925643842301387,60.45276196793738,1,False,291
2023-07-08 12:53:11.613510,20.371031528023853,58.628039214394526,2,False,225
2023-08-02 12:53:11.615509,25.37882279712094,48.9757910086215,2,False,473
2023-07-02 12:53:11.617510,10.19500246851104,58.18256314630318,2,False,364
2023-06-23 12:53:11.619509,22.12239873167688,48.82366422092546,6,False,32
2023-05-28 12:53:11.621508,20.88992555758343,46.49196401200824,6,False,223
2023-05-12 12:53:11.624509,12.341998257596188,41.08304345709662,6,False,278
2023-05-22 12:53:11.626509,17.484339157585097,36.866955072797836,5,False,488
2023-06-16 12:53:11.629508,19.53661016195347,47.2783677901123,1,False,83
2023-06-13 12:53:11.631517,21.385253271541806,43.65372164761473,6,False,59
2023-07-21 12:53:11.633511,18.01958262025854,35.98198244982449,3,False,232
2023-07-01 12:53:11.635510,22.00067634926815,50.12320605366567,4,False,378
2023-08-17 12:53:11.637511,21.347412154316906,33.39936820662773,2,False,466
2023-07-01 12:53:11.639509,26.197861805190698,46.0488276929858,6,False,316
2023-08-18 12:53:11.641511,13.802075019455948,54.961440705377974,2,False,360
2023-07-30 12:53:11.643511,19.520725988524944,52.54838682658876,5,False,461
2023-08-03 12:53:11.646510,17.73158173836823,57.86360101445976,5,False,324
2023-05-18 12:53:11.648519,19.891113982262542,45.19869794182111,4,False,161
2023-05-20 12:53:11.650519,16.53177369672587,59.38078654964083,2,False,389
2023-06-25 12:53:11.652517,18.18574813418575,55.106383907238566,3,False,129
